window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_recall,threshold,met_recall_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
30,2,0.005,random_forest,200,10,0.4,0.25442158923256475,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.5008124340574184,0.3230456983333637,5162,11198,81799,28886,35.31339013924376
20,5,0.015,xgboost,200,6,0.4,0.02542675845324993,True,0.21853380264595218,0.21848637494689568,1.0,0.358619315634806,0.5098489888008835,0.22762064456049189,3600,12877,82389,21667,26.29841362317785
30,2,0.005,random_forest,100,8,0.3,0.30120025006119805,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.499315740294854,0.32153634333018044,5162,11198,81799,28886,35.31339013924376
20,5,0.015,xgboost,200,8,0.3,0.009527388960123062,True,0.21853380264595218,0.21848637494689568,1.0,0.358619315634806,0.5073352487446291,0.2295929691852976,3600,12877,82389,21667,26.29841362317785
20,5,0.015,xgboost,200,8,0.4,0.009527388960123062,True,0.21853380264595218,0.21848637494689568,1.0,0.358619315634806,0.5073352487446291,0.2295929691852976,3600,12877,82389,21667,26.29841362317785
20,5,0.015,xgboost,200,10,0.3,0.007463553454726934,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5109183404945558,0.22754625566856862,3600,12875,82389,21667,26.29841362317785
20,5,0.015,xgboost,200,10,0.4,0.007463553454726934,True,0.21865517659910183,0.21851289833080426,1.0,0.3586550435865504,0.5109183404945558,0.22754625566856862,3600,12875,82389,21667,26.29841362317785
30,2,0.005,random_forest,100,6,0.3,0.333433684335442,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.496336953816198,0.32150095994047173,5162,11198,81799,28886,35.31339013924376
30,2,0.005,random_forest,100,6,0.4,0.333433684335442,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.496336953816198,0.32150095994047173,5162,11198,81799,28886,35.31339013924376
30,2,0.005,random_forest,100,8,0.4,0.30120025006119805,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.499315740294854,0.32153634333018044,5162,11198,81799,28886,35.31339013924376
