window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
10,6,0.025,xgboost,200,10,0.5,0.12844166159629822,False,0.22421862348178137,0.20908418968189615,0.9914730000130783,0.34534186389218513,0.5338087116798439,0.22327473992920585,75811,286775,1852497,391649,21.141680661291222
15,12,0.025,random_forest,200,5,0.5,0.4578810533130031,False,0.28013476585245634,0.26634344351717,0.9913940593243048,0.4198830154087913,0.5424872622110848,0.28814364997445585,96191,264963,1846162,498421,26.997684926891573
15,12,0.025,random_forest,200,5,0.45,0.457881053313003,False,0.28013476585245634,0.26634344351717,0.9913940593243048,0.4198830154087913,0.5424872622110848,0.28814364997445585,96191,264963,1846162,498421,26.997684926891573
10,9,0.02,random_forest,200,5,0.45,0.47553562665929894,False,0.29152766531713903,0.2785011254799841,0.9908044397774223,0.43478916213940727,0.5296693550175653,0.2916586925986471,100960,261552,1852497,522645,28.21300115465774
10,9,0.02,random_forest,200,5,0.5,0.47553562665929894,False,0.29152766531713903,0.2785011254799841,0.9908044397774223,0.43478916213940727,0.5296693550175653,0.2916586925986471,100960,261552,1852497,522645,28.21300115465774
10,6,0.025,xgboost,200,15,0.5,0.07245884835720062,False,0.22331983805668015,0.20879926571720742,0.9907144632044257,0.3449071860785948,0.5255032887435047,0.21963209642646506,75753,287050,1852497,391649,21.141680661291222
10,6,0.025,xgboost,200,15,0.45,0.07245884835720062,False,0.22331983805668015,0.20879926571720742,0.9907144632044257,0.3449071860785948,0.5255032887435047,0.21963209642646506,75753,287050,1852497,391649,21.141680661291222
10,6,0.02,xgboost,200,10,0.45,0.1604766547679901,False,0.2615249662618084,0.24674374157626108,0.9903337730431987,0.39505796149755795,0.5310619072890765,0.26029567653978486,89339,272733,1852497,463746,25.03356280738916
10,6,0.02,xgboost,200,10,0.5,0.1604766547679901,False,0.2615249662618084,0.24674374157626108,0.9903337730431987,0.39505796149755795,0.5310619072890765,0.26029567653978486,89339,272733,1852497,463746,25.03356280738916
10,9,0.025,random_forest,200,5,0.45,0.47268654906634006,False,0.25805668016194333,0.24323540540615188,0.990006407590184,0.39052294102778995,0.5315533588428755,0.2562068047723196,88068,274001,1852497,456265,24.629729494838585
10,9,0.025,random_forest,200,5,0.5,0.47268654906634006,False,0.25805668016194333,0.24323540540615188,0.990006407590184,0.39052294102778995,0.5315533588428755,0.2562068047723196,88068,274001,1852497,456265,24.629729494838585
10,6,0.02,random_forest,200,5,0.45,0.47534217809112794,False,0.2614331983805668,0.24665340736443744,0.9898016871556684,0.3948998387956331,0.5300397928068863,0.25901234217523156,89291,272719,1852497,463746,25.03356280738916
10,6,0.02,random_forest,200,5,0.5,0.4753421780911279,False,0.2614331983805668,0.24665340736443744,0.9898016871556684,0.3948998387956331,0.5300397928068863,0.25901234217523156,89291,272719,1852497,463746,25.03356280738916
10,6,0.03,xgboost,200,15,0.45,0.056286804378032684,False,0.19384615384615383,0.1775113792884529,0.9891105403202239,0.3010030470538126,0.5220187538556355,0.18457479598733034,64309,297972,1852497,331689,17.904968267155088
