window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
15,3,0.015,random_forest,400,4,0.58,0.5438371368347547,True,0.7139395043731779,0.5833333333333334,0.000891549385467745,0.0017803776944108857,0.5329377666691958,0.310014288203327,0.5833333333333334,14,10,274400,70144,25.562682215743436
15,3,0.015,xgboost,800,4,0.58,0.8385702967643738,True,0.7139395043731779,0.5909090909090909,0.0008278672865057633,0.0016534181240063592,0.52264657237584,0.3024592964063678,0.5909090909090909,13,9,274400,70144,25.562682215743436
40,3,0.03,random_forest,800,4,0.58,0.6018930712129246,False,0.8378473639298037,0.5384615384615384,0.0008007320979180966,0.0015990862364363221,0.5589439608294222,0.19251887529406944,0.5384615384615384,7,6,269526,36087,13.389060795618976
30,3,0.03,random_forest,100,4,0.58,0.6040949281920426,False,0.8381648740238692,0.4375,0.0007968127490039841,0.001590728326326554,0.550697832381539,0.18903273572458856,0.4375,7,9,271476,36232,13.346299488720916
40,3,0.015,xgboost,100,4,0.58,0.7816370129585266,True,0.7128520016324713,0.7333333333333333,0.0007103189978044685,0.001419263273337204,0.5408025211332592,0.3153189781782504,0.7333333333333333,11,4,269526,69261,25.69733532200975
15,3,0.015,random_forest,100,4,0.58,0.5463299402886961,True,0.7139577259475218,0.6923076923076923,0.0005731388906578361,0.0011453296004072283,0.5325644793930867,0.3095158527407746,0.6923076923076923,9,4,274400,70144,25.562682215743436
15,3,0.03,random_forest,400,4,0.58,0.5744277466519785,False,0.8385932944606413,0.45454545454545453,0.0005645252342779722,0.0011276499774470004,0.5456569936531801,0.18788419706701154,0.45454545454545453,5,6,274400,36514,13.306851311953352
40,9,0.015,random_forest,100,4,0.58,0.5525823716783202,True,0.625848699588172,0.6470588235294118,0.0005452562704471102,0.0010895943737308702,0.5189882411728973,0.3906480693696003,0.6470588235294118,11,6,269526,95933,35.59322662748677
15,9,0.03,xgboost,100,4,0.58,0.7737674713134766,True,0.7295918367346939,0.6153846153846154,0.0005389746008219363,0.0010770059235325794,0.5364734464250562,0.29917006080087727,0.6153846153846154,8,5,274400,65924,24.02478134110787
40,3,0.03,random_forest,400,4,0.58,0.6020619846738264,False,0.8378473639298037,0.5714285714285714,0.0004575611988103409,0.0009143902160246885,0.5587455963381812,0.19255779062281958,0.5714285714285714,4,3,269526,36087,13.389060795618976
15,3,0.03,random_forest,800,4,0.58,0.5755739381290921,False,0.8385932944606413,0.4444444444444444,0.00045162018742237776,0.0009023234829686443,0.5459376702565261,0.1879700748440417,0.4444444444444444,4,5,274400,36514,13.306851311953352
30,3,0.015,random_forest,400,4,0.58,0.5774137225231842,True,0.7132753794017975,0.5833333333333334,0.000449582530507386,0.0008984725965858042,0.5328748812822632,0.3087004020260999,0.5833333333333334,7,5,271476,69550,25.619207591094607
15,9,0.015,xgboost,400,4,0.58,0.8645790815353394,True,0.6283527696793003,0.6,0.00044119809794597773,0.0008817478201234447,0.523527122551028,0.3920284388164933,0.6,9,6,274400,96906,35.315597667638485
30,3,0.015,random_forest,800,4,0.58,0.5783206255914146,False,0.7132569618388095,0.5454545454545454,0.0003853564547206166,0.0007701687953276426,0.5331011452726964,0.30879983668605304,0.5454545454545454,6,5,271476,69550,25.619207591094607
15,3,0.015,xgboost,400,4,0.58,0.8327497243881226,True,0.7139030612244898,0.6,0.0003820925937718907,0.0007636988480875708,0.5281520334437702,0.30707268960916656,0.6,6,4,274400,70144,25.562682215743436
15,3,0.015,xgboost,100,4,0.58,0.7551795840263367,False,0.7138666180758018,0.5,0.0003820925937718907,0.0007636016544702514,0.5338892270004083,0.31031529735749774,0.5,6,6,274400,70144,25.562682215743436
15,9,0.015,xgboost,800,4,0.58,0.9048925042152405,True,0.6283527696793003,0.6363636363636364,0.0003431540761802049,0.0006859382655561,0.520222141775821,0.38960922211528626,0.6363636363636364,7,4,274400,96906,35.315597667638485
30,3,0.03,xgboost,800,4,0.58,0.8262619376182556,True,0.8382201267128334,0.6,0.0003414911781445646,0.0006825938566552901,0.5525984380217073,0.18776815291139617,0.6,3,2,271476,36232,13.346299488720916
15,9,0.03,random_forest,100,4,0.58,0.5603896337700927,True,0.7296100583090379,0.8333333333333334,0.00033685912551371016,0.0006734460233012324,0.5339635501985833,0.2955412702773389,0.8333333333333334,5,1,274400,65924,24.02478134110787
15,9,0.03,xgboost,800,4,0.58,0.8754534125328064,True,0.7296100583090379,0.8333333333333334,0.00033685912551371016,0.0006734460233012324,0.525835821934777,0.28836816046283464,0.8333333333333334,5,1,274400,65924,24.02478134110787
40,3,0.015,xgboost,400,4,0.58,0.8358650803565979,True,0.7127592475791192,0.625,0.00032287227172930386,0.0006454111268878275,0.535909840615725,0.31089733492333993,0.625,5,3,269526,69261,25.69733532200975
