window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,min_recall,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
15,6,0.005,random_forest,100,12,0.48,0.1,0.5271465925257415,False,0.5678172056033265,0.48,0.08591184909920505,0.14573890839451006,0.5330496132910197,0.45525658027727806,0.48,9132,9893,1238546,537711,43.414697556651106
15,6,0.005,random_forest,100,12,0.48,0.05,0.5271465925257415,True,0.5678172056033265,0.48,0.08591184909920505,0.14573890839451006,0.5330496132910197,0.45525658027727806,0.48,9132,9893,1238546,537711,43.414697556651106
21,9,0.005,xgboost,200,12,0.48,0.05,0.840282142162323,True,0.5528098359459558,0.480204006519796,0.08335843304765295,0.14205720862951268,0.5261348647550639,0.46433680082179146,0.480204006519796,9133,9886,1233432,554941,44.991616886865266
21,9,0.005,xgboost,200,12,0.48,0.1,0.840282142162323,False,0.5528098359459558,0.480204006519796,0.08335843304765295,0.14205720862951268,0.5261348647550639,0.46433680082179146,0.480204006519796,9133,9886,1233432,554941,44.991616886865266
15,9,0.005,xgboost,100,12,0.48,0.05,0.834614098072052,True,0.5528803843203747,0.4800379226798694,0.08285605192821688,0.14131985362525584,0.5242420994114191,0.46246536138706135,0.4800379226798694,9114,9872,1238546,557067,44.97749780791347
15,9,0.005,xgboost,100,12,0.48,0.1,0.834614098072052,False,0.5528803843203747,0.4800379226798694,0.08285605192821688,0.14131985362525584,0.5242420994114191,0.46246536138706135,0.4800379226798694,9114,9872,1238546,557067,44.97749780791347
15,6,0.005,random_forest,200,8,0.48,0.05,0.5264545641346038,True,0.5682410883694643,0.4800389483933788,0.0742085704877934,0.12854547084178705,0.532961517709955,0.4549513032924446,0.4800389483933788,7888,8544,1238546,537711,43.414697556651106
15,6,0.005,random_forest,200,8,0.48,0.1,0.5264545641346038,False,0.5682410883694643,0.4800389483933788,0.0742085704877934,0.12854547084178705,0.532961517709955,0.4549513032924446,0.4800389483933788,7888,8544,1238546,537711,43.414697556651106
15,6,0.005,random_forest,100,8,0.48,0.1,0.5271532519028496,False,0.5683662347099431,0.48,0.07055835175690296,0.12303149606299213,0.5330400854978056,0.4549733876178885,0.48,7500,8125,1238546,537711,43.414697556651106
15,6,0.005,random_forest,100,8,0.48,0.05,0.5271532519028495,True,0.5683662347099431,0.48,0.07055835175690296,0.12303149606299213,0.5330400854978056,0.4549733876178885,0.48,7500,8125,1238546,537711,43.414697556651106
15,6,0.005,xgboost,200,8,0.48,0.05,0.8260758519172668,True,0.5684510112631707,0.4800185258700543,0.0682534455995108,0.11951338039189846,0.530487989424129,0.45308717033971185,0.4800185258700543,7255,7859,1238546,537711,43.414697556651106
15,6,0.005,xgboost,200,8,0.48,0.1,0.8260758519172668,False,0.5684510112631707,0.4800185258700543,0.0682534455995108,0.11951338039189846,0.530487989424129,0.45308717033971185,0.4800185258700543,7255,7859,1238546,537711,43.414697556651106
21,6,0.005,xgboost,200,12,0.48,0.1,0.8349613547325134,False,0.5687612237369623,0.4800655379574003,0.06646691305046457,0.11676698908215367,0.5261907047585541,0.44958378776436214,0.4800655379574003,7032,7616,1233432,535195,43.390717931754644
21,6,0.005,xgboost,200,12,0.48,0.05,0.8349613547325134,True,0.5687612237369623,0.4800655379574003,0.06646691305046457,0.11676698908215367,0.5261907047585541,0.44958378776436214,0.4800655379574003,7032,7616,1233432,535195,43.390717931754644
30,9,0.005,random_forest,200,12,0.52,0.1,0.5331634405253715,False,0.5566927463633916,0.5201256920544666,0.06365542563614222,0.11342889075616541,0.5390126167638198,0.47808458054813074,0.5201256920544666,6952,6414,1225726,553198,45.13227262862989
30,9,0.005,random_forest,200,12,0.52,0.05,0.5331634405253716,True,0.5566927463633916,0.5201256920544666,0.06365542563614222,0.11342889075616541,0.5390126167638198,0.47808458054813074,0.5201256920544666,6952,6414,1225726,553198,45.13227262862989
21,6,0.005,xgboost,100,12,0.48,0.05,0.8323677778244019,True,0.569008500650622,0.4801276692757808,0.05971813945575016,0.10622415010592151,0.5268215084571721,0.45037632448966475,0.4801276692757808,6318,6841,1233432,535195,43.390717931754644
21,6,0.005,xgboost,100,12,0.48,0.1,0.8323677778244019,False,0.569008500650622,0.4801276692757808,0.05971813945575016,0.10622415010592151,0.5268215084571721,0.45037632448966475,0.4801276692757808,6318,6841,1233432,535195,43.390717931754644
30,9,0.005,random_forest,100,12,0.52,0.1,0.537448445868213,False,0.5563704894226298,0.5202184829530437,0.0540686548304689,0.09795627218738595,0.5384179273048557,0.4772829038802674,0.5202184829530437,5905,5446,1225726,553198,45.13227262862989
30,9,0.005,random_forest,100,12,0.52,0.05,0.5374484458682129,True,0.5563704894226298,0.5202184829530437,0.0540686548304689,0.09795627218738595,0.5384179273048557,0.4772829038802674,0.5202184829530437,5905,5446,1225726,553198,45.13227262862989
30,9,0.01,random_forest,200,12,0.48,0.05,0.5442072529739393,False,0.6050312874776663,0.48008849557522126,0.04950792811291209,0.08975961945230462,0.5434317761711432,0.4294329295439304,0.48008849557522126,4774,5170,1225726,487954,39.80938643709932
30,9,0.01,random_forest,200,12,0.48,0.1,0.5442072529739393,False,0.6050312874776663,0.48008849557522126,0.04950792811291209,0.08975961945230462,0.5434317761711432,0.4294329295439304,0.48008849557522126,4774,5170,1225726,487954,39.80938643709932
30,9,0.01,random_forest,200,8,0.48,0.1,0.5428943797901146,False,0.6051006339079569,0.48007989067591716,0.04736127098694376,0.08621698665307433,0.5406926697555531,0.42723202844417973,0.48007989067591716,4567,4946,1225726,487954,39.80938643709932
30,9,0.01,random_forest,200,8,0.48,0.05,0.5428943797901146,False,0.6051006339079569,0.48007989067591716,0.04736127098694376,0.08621698665307433,0.5406926697555531,0.42723202844417973,0.48007989067591716,4567,4946,1225726,487954,39.80938643709932
30,9,0.01,random_forest,100,8,0.48,0.1,0.5441326991874612,False,0.6051822179435928,0.48024650599757895,0.045256095158095595,0.08271731301414004,0.5403587994187447,0.4267479028418403,0.48024650599757895,4364,4723,1225726,487954,39.80938643709932
30,9,0.01,random_forest,100,8,0.48,0.05,0.5441326991874612,False,0.6051822179435928,0.48024650599757895,0.045256095158095595,0.08271731301414004,0.5403587994187447,0.4267479028418403,0.48024650599757895,4364,4723,1225726,487954,39.80938643709932
30,9,0.005,random_forest,200,8,0.52,0.05,0.5355460940052129,False,0.5560563908854316,0.5202803142917817,0.04486645362731543,0.08260909880216807,0.5354826110431794,0.4751983483571648,0.5202803142917817,4900,4518,1225726,553198,45.13227262862989
30,9,0.005,random_forest,200,8,0.52,0.1,0.5355460940052129,False,0.5560563908854316,0.5202803142917817,0.04486645362731543,0.08260909880216807,0.5354826110431794,0.4751983483571648,0.5202803142917817,4900,4518,1225726,553198,45.13227262862989
30,9,0.01,random_forest,100,12,0.48,0.1,0.5475611173008985,False,0.6052148515578472,0.48036693142409664,0.04453017245849278,0.0815048211980867,0.542933765469614,0.42895599383792155,0.48036693142409664,4294,4645,1225726,487954,39.80938643709932
30,9,0.01,random_forest,100,12,0.48,0.05,0.5475611173008985,False,0.6052148515578472,0.48036693142409664,0.04453017245849278,0.0815048211980867,0.542933765469614,0.42895599383792155,0.48036693142409664,4294,4645,1225726,487954,39.80938643709932
15,9,0.005,xgboost,200,12,0.48,0.05,0.850205659866333,False,0.5544709539380728,0.4800788091068301,0.039873452244586265,0.07363137307569627,0.5222820597936957,0.46054628910761397,0.4800788091068301,4386,4750,1238546,557067,44.97749780791347
15,9,0.005,xgboost,200,12,0.48,0.1,0.850205659866333,False,0.5544709539380728,0.4800788091068301,0.039873452244586265,0.07363137307569627,0.5222820597936957,0.46054628910761397,0.4800788091068301,4386,4750,1238546,557067,44.97749780791347
30,9,0.005,random_forest,100,8,0.52,0.1,0.5383305433713033,False,0.5558565099981235,0.520077173519836,0.039491635611145194,0.07340901741187685,0.5351337119215072,0.47484912609781954,0.520077173519836,4313,3980,1225726,553198,45.13227262862989
30,9,0.005,random_forest,100,8,0.52,0.05,0.5383305433713031,False,0.5558565099981235,0.520077173519836,0.039491635611145194,0.07340901741187685,0.5351337119215072,0.47484912609781954,0.520077173519836,4313,3980,1225726,553198,45.13227262862989
30,6,0.005,random_forest,200,12,0.52,0.1,0.5457070100331733,False,0.5711494374780743,0.5200103613521565,0.03807852807283763,0.07096084340011134,0.5414418997513464,0.46453010437266623,0.5200103613521565,4015,3706,1225726,533363,43.51404800093985
30,6,0.005,random_forest,200,12,0.52,0.05,0.5457070100331733,False,0.5711494374780743,0.5200103613521565,0.03807852807283763,0.07096084340011134,0.5414418997513464,0.46453010437266623,0.5200103613521565,4015,3706,1225726,533363,43.51404800093985
30,9,0.005,xgboost,100,8,0.52,0.05,0.8470911979675293,False,0.5557953219713966,0.5200605601816806,0.03774275956159065,0.07037792707808671,0.5361213576143536,0.474518127760107,0.5200605601816806,4122,3804,1225726,553198,45.13227262862989
30,9,0.005,xgboost,100,8,0.52,0.1,0.8470911979675293,False,0.5557953219713966,0.5200605601816806,0.03774275956159065,0.07037792707808671,0.5361213576143536,0.474518127760107,0.5200605601816806,4122,3804,1225726,553198,45.13227262862989
30,6,0.005,xgboost,200,12,0.48,0.1,0.8520459532737732,False,0.5685469067412888,0.4801544215224997,0.03774658573596358,0.06999094338295421,0.5305465879156438,0.45319583109889766,0.4801544215224997,3980,4309,1225726,533363,43.51404800093985
30,6,0.005,xgboost,200,12,0.48,0.05,0.8520459532737732,False,0.5685469067412888,0.4801544215224997,0.03774658573596358,0.06999094338295421,0.5305465879156438,0.45319583109889766,0.4801544215224997,3980,4309,1225726,533363,43.51404800093985
