window_size,horizon,label_threshold,n_kernels,max_samples,accuracy,f1_weighted,f1_sell,f1_hold,f1_buy,samples_train,samples_test
60,12,0.015,1000,75000,0.39,0.3825624947094799,0.4169163599006934,0.21248630887185105,0.4412428938556187,60000,15000
60,6,0.01,1000,75000,0.3904666666666667,0.38186396809821344,0.43290327882323937,0.193659281894576,0.4312822548630409,60000,15000
30,6,0.01,1000,75000,0.3918,0.38149786528189816,0.43235794763718893,0.16871350916045902,0.4396660365469439,60000,15000
30,12,0.015,1000,75000,0.3918,0.3810328179877586,0.4136165856155618,0.17769156159068866,0.4564157269125267,60000,15000
30,6,0.01,2000,75000,0.384,0.37889594410705024,0.42478920741989884,0.19950738916256158,0.4293513166345536,60000,15000
60,6,0.01,2000,75000,0.38366666666666666,0.3783815682620447,0.4187332439678284,0.2077831827658096,0.43191420214494636,60000,15000
60,6,0.015,3000,75000,0.3738666666666667,0.3734343786906943,0.36380655226209047,0.3803562831006259,0.3768,60000,15000
30,12,0.015,3000,75000,0.37506666666666666,0.371874581372721,0.40726396419657457,0.21061305207646672,0.4257289044099732,60000,15000
90,6,0.015,3000,75000,0.3642666666666667,0.3643692145712942,0.36856856856856857,0.3606492084038634,0.36359987960268886,60000,15000
90,6,0.015,2000,75000,0.3636,0.36224399049404965,0.3466638822178135,0.38430105483227217,0.35797979797979795,60000,15000
60,6,0.015,2000,75000,0.3612,0.3593986824759073,0.3407485503426463,0.38323795458741,0.3565747340150811,60000,15000
90,6,0.015,1000,75000,0.35886666666666667,0.3555844355377301,0.3248986745536203,0.3891736354644367,0.3561025641025641,60000,15000
30,6,0.015,2000,75000,0.3565333333333333,0.35296745925418366,0.3285277413717781,0.39104450985639105,0.3429876466313713,60000,15000
30,6,0.015,3000,75000,0.3549333333333333,0.3527324661954138,0.32859433458043824,0.3765659543109801,0.35611400551639594,60000,15000
60,6,0.015,1000,75000,0.3548,0.3501474826260596,0.33544037083860095,0.3981489721455905,0.32207960306331573,60000,15000
30,6,0.015,1000,75000,0.3528,0.3485741174755582,0.3160320421376056,0.38918241246529955,0.3454732510288066,60000,15000
